run_dir,first_round,final_round,first_val_rmse,final_val_rmse,best_val_rmse,best_val_rmse_round,delta_val_rmse_first_to_final,val_rmse@0,val_rmse@5,val_rmse@10,val_rmse@15,val_rmse@20,val_rmse@25,val_rmse@30,final_val_mae,final_val_accuracy,final_train_loss,final_total_bytes,client_update.steps,client_update.lr
2026-05-25_14-18-22_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_2__client_update_lr_0p03__seed_44,0,30,1.092172622680664,1.0134904384613037,1.0134904384613037,30,0.07868218421936035,1.092172622680664,1.0635982751846311,1.0394821166992188,1.0376756191253662,1.0261257886886597,1.0169130563735962,1.0134904384613037,0.8222319483757019,0.3622025847434997,1.172372329235077,366897000.0,2,0.03
2026-05-25_14-05-58_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_2__client_update_lr_0p05__seed_42,0,30,1.0922261476516724,1.0073004961013794,1.0073004961013794,30,0.08492565155029297,1.0922261476516724,1.051153540611267,1.024964451789856,1.0245041847229004,1.0166897773742676,1.0081969499588013,1.0073004961013794,0.810932993888855,0.3786539733409881,1.1409417593479156,366897000.0,2,0.05
2026-05-25_14-12-18_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_2__client_update_lr_0p05__seed_43,0,30,1.092220425605774,1.007197022438049,1.007197022438049,30,0.08502340316772483,1.092220425605774,1.0508805513381958,1.0258283615112305,1.0253069400787354,1.016374111175537,1.0080446004867554,1.007197022438049,0.8109455704689026,0.3796057105064392,1.073421940803528,366897000.0,2,0.05
2026-05-25_14-18-39_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_2__client_update_lr_0p05__seed_44,0,30,1.092172622680664,1.0074208974838257,1.0074208974838257,30,0.08475172519683838,1.092172622680664,1.051965594291687,1.0264992713928225,1.0253527164459229,1.0166562795639038,1.0085854530334473,1.0074208974838257,0.8115039467811584,0.3782460987567901,1.0416151976585388,366897000.0,2,0.05
2026-05-25_14-06-17_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_2__client_update_lr_0p1__seed_42,0,30,1.0922261476516724,1.0050978660583496,1.0043789148330688,25,0.08712828159332275,1.0922261476516724,1.0317597389221191,1.010901689529419,1.0154812335968018,1.0118471384048462,1.0043789148330688,1.0050978660583496,0.8034744262695312,0.3878993988037109,1.0787996459007263,366897000.0,2,0.1
2026-05-25_14-12-35_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_2__client_update_lr_0p1__seed_43,0,30,1.092220425605774,1.0049911737442017,1.004302740097046,25,0.08722925186157227,1.092220425605774,1.0314898490905762,1.0117963552474976,1.0159568786621094,1.0116090774536133,1.004302740097046,1.0049911737442017,0.8036007881164551,0.3870836198329925,1.0103475189208984,366897000.0,2,0.1
2026-05-25_14-18-56_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_2__client_update_lr_0p1__seed_44,0,30,1.092172622680664,1.00493061542511,1.004553198814392,25,0.08724200725555398,1.092172622680664,1.032732605934143,1.0122246742248535,1.0158931016921997,1.0116804838180542,1.004553198814392,1.00493061542511,0.8040967583656311,0.389666885137558,0.9822963225841522,366897000.0,2,0.1
2026-05-25_14-06-34_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_2__client_update_lr_0p2__seed_42,0,30,1.0922261476516724,1.003428936004639,1.0027462244033811,25,0.08879721164703347,1.0922261476516724,1.0153461694717407,1.005605697631836,1.0133769512176514,1.0105136632919312,1.0027462244033811,1.003428936004639,0.8006266951560974,0.38925901055336,1.0367816126346587,366897000.0,2,0.2
2026-05-25_14-12-53_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_2__client_update_lr_0p2__seed_43,0,30,1.092220425605774,1.0032974481582642,1.00273597240448,25,0.08892297744750977,1.092220425605774,1.01508891582489,1.0061745643615725,1.0134018659591677,1.0104883909225464,1.00273597240448,1.0032974481582642,0.8009301424026489,0.3866757452487945,0.9778118681907654,366897000.0,2,0.2
2026-05-25_14-19-15_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_2__client_update_lr_0p2__seed_44,0,30,1.092172622680664,1.0030642747879028,1.0028202533721924,25,0.08910834789276123,1.092172622680664,1.01614511013031,1.0063471794128418,1.013460397720337,1.010364055633545,1.0028202533721924,1.0030642747879028,0.8012629747390747,0.3889870941638946,0.947768850326538,366897000.0,2,0.2
