run_dir,seed,val_rmse,val_mae,val_accuracy,val_num_clients,val_num_examples,test_rmse,test_mae,test_accuracy,test_num_clients,test_num_examples,rounds,total_bytes,total_mb,reconstruction.steps,client_update.steps
2026-05-27_15-08-16_sweep_fedrecon_paperlike_steps_100r_3x3_safelr_v1__reconstruction_steps_10__client_update_steps_10__seed_42,42,3.7495782375335693,3.586116313934326,0.05051446333527565,604,50441,3.7053141593933105,3.5308680534362793,0.05996966361999512,604,51426,100,7412040000,7068.672180175781,10,10
2026-05-27_15-11-50_sweep_fedrecon_paperlike_steps_100r_3x3_safelr_v1__reconstruction_steps_10__client_update_steps_25__seed_42,42,2.928959608078003,2.6712899208068848,0.07957812398672104,604,50441,2.8673622608184814,2.604071855545044,0.0887099876999855,604,51426,100,7412040000,7068.672180175781,10,25
2026-05-27_15-17-04_sweep_fedrecon_paperlike_steps_100r_3x3_safelr_v1__reconstruction_steps_10__client_update_steps_50__seed_42,42,1.9850376844406128,1.6341824531555176,0.23467020690441132,604,50441,1.9375522136688232,1.5884214639663696,0.24133706092834473,604,51426,100,7412040000,7068.672180175781,10,50
2026-05-27_15-25-07_sweep_fedrecon_paperlike_steps_100r_3x3_safelr_v1__reconstruction_steps_25__client_update_steps_10__seed_42,42,3.0785276889801025,2.8568825721740723,0.06312325596809387,604,50441,3.019127368927002,2.790184497833252,0.07276474684476852,604,51426,100,7412040000,7068.672180175781,25,10
2026-05-27_15-29-58_sweep_fedrecon_paperlike_steps_100r_3x3_safelr_v1__reconstruction_steps_25__client_update_steps_25__seed_42,42,1.8035165071487427,1.439892053604126,0.2567157745361328,604,50441,1.7538197040557861,1.3956331014633179,0.2664799988269806,604,51426,100,7412040000,7068.672180175781,25,25
2026-05-27_15-36-30_sweep_fedrecon_paperlike_steps_100r_3x3_safelr_v1__reconstruction_steps_25__client_update_steps_50__seed_42,42,1.4306522607803345,1.0901985168457031,0.3354017436504364,604,50441,1.3961600065231323,1.0676181316375732,0.33786410093307495,604,51426,100,7412040000,7068.672180175781,25,50
2026-05-27_15-45-52_sweep_fedrecon_paperlike_steps_100r_3x3_safelr_v1__reconstruction_steps_50__client_update_steps_10__seed_42,42,2.2231738567352295,1.888740062713623,0.14995737373828888,604,50441,2.166980028152466,1.8338532447814941,0.16065803170204163,604,51426,100,7412040000,7068.672180175781,50,10
2026-05-27_15-52-47_sweep_fedrecon_paperlike_steps_100r_3x3_safelr_v1__reconstruction_steps_50__client_update_steps_25__seed_42,42,1.5277096033096313,1.188614010810852,0.2858785390853882,604,50441,1.4839004278182983,1.1556637287139893,0.29434525966644287,604,51426,100,7412040000,7068.672180175781,50,25
2026-05-27_16-01-26_sweep_fedrecon_paperlike_steps_100r_3x3_safelr_v1__reconstruction_steps_50__client_update_steps_50__seed_42,42,1.2953797578811646,0.9904464483261108,0.33996152877807617,604,50441,1.2651540040969849,0.9720396995544434,0.3422587811946869,604,51426,100,7412040000,7068.672180175781,50,50
